experiment,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC),CV_list(Accuracy),CV_list(Precision),CV_list(Recall),CV_list(F1)
lab1/outputs/incubator-mxnet_NB.csv,5,0.6134615384615385,0.6100863803849326,0.7410941232680364,0.5500310100082647,0.7410941232680364,"[np.float64(0.7197802197802199), np.float64(0.75), np.float64(0.7692307692307692), np.float64(0.7309523809523809), np.float64(0.7355072463768115)]","[0.625, 0.6634615384615384, 0.5961538461538461, 0.5865384615384616, 0.5961538461538461]","[0.5967261904761905, 0.6313923105636432, 0.6181818181818182, 0.6079777365491651, 0.5961538461538461]","[0.7197802197802198, 0.75, 0.7692307692307692, 0.730952380952381, 0.7355072463768115]","[0.5476748076279693, 0.6015325670498084, 0.5411764705882353, 0.5337295381086435, 0.5260416666666667]"
lab1/outputs/incubator-mxnet_NB.csv,10,0.6067307692307692,0.61344513311512,0.7499897236052183,0.547106142263228,0.7499897236052182,"[np.float64(0.7197802197802199), np.float64(0.75), np.float64(0.7692307692307692), np.float64(0.7309523809523809), np.float64(0.7355072463768115), np.float64(0.7250936329588014), np.float64(0.8031914893617021), np.float64(0.7444444444444445), np.float64(0.7414772727272727), np.float64(0.7802197802197802)]","[0.625, 0.6634615384615384, 0.5961538461538461, 0.5865384615384616, 0.5961538461538461, 0.5769230769230769, 0.6442307692307693, 0.5576923076923077, 0.6057692307692307, 0.6153846153846154]","[0.5967261904761905, 0.6313923105636432, 0.6181818181818182, 0.6079777365491651, 0.5961538461538461, 0.6121687196715192, 0.6063829787234043, 0.6166666666666667, 0.6261595547309833, 0.6226415094339622]","[0.7197802197802198, 0.75, 0.7692307692307692, 0.730952380952381, 0.7355072463768115, 0.7250936329588016, 0.8031914893617021, 0.7444444444444445, 0.7414772727272727, 0.7802197802197802]","[0.5476748076279693, 0.6015325670498084, 0.5411764705882353, 0.5337295381086435, 0.5260416666666667, 0.5326797385620915, 0.5529220401998374, 0.5175473981444131, 0.5616325691374524, 0.5561246265471618]"
lab1/outputs/incubator-mxnet_NB.csv,30,0.6000000000000001,0.6076786327273728,0.7471463496746509,0.5369812642339343,0.7471463496746509,"[np.float64(0.7197802197802199), np.float64(0.75), np.float64(0.7692307692307692), np.float64(0.7309523809523809), np.float64(0.7355072463768115), np.float64(0.7250936329588014), np.float64(0.8031914893617021), np.float64(0.7444444444444445), np.float64(0.7414772727272727), np.float64(0.7802197802197802), np.float64(0.7722222222222223), np.float64(0.6873207114170969), np.float64(0.7604166666666666), np.float64(0.7747252747252747), np.float64(0.7747252747252747), np.float64(0.7752808988764045), np.float64(0.7223858615611194), np.float64(0.7700374531835206), np.float64(0.6703296703296704), np.float64(0.7864583333333334), np.float64(0.7159574468085106), np.float64(0.7212765957446808), np.float64(0.8097826086956521), np.float64(0.7849462365591398), np.float64(0.7663043478260869), np.float64(0.6608527131782946), np.float64(0.7472527472527472), np.float64(0.7475655430711611), np.float64(0.7502443792766373), np.float64(0.7164082687338501)]","[0.625, 0.6634615384615384, 0.5961538461538461, 0.5865384615384616, 0.5961538461538461, 0.5769230769230769, 0.6442307692307693, 0.5576923076923077, 0.6057692307692307, 0.6153846153846154, 0.6057692307692307, 0.5576923076923077, 0.5576923076923077, 0.6057692307692307, 0.6057692307692307, 0.6153846153846154, 0.6057692307692307, 0.6538461538461539, 0.5384615384615384, 0.6057692307692307, 0.5673076923076923, 0.5769230769230769, 0.6634615384615384, 0.6153846153846154, 0.5865384615384616, 0.5480769230769231, 0.6153846153846154, 0.6153846153846154, 0.625, 0.5673076923076923]","[0.5967261904761905, 0.6313923105636432, 0.6181818181818182, 0.6079777365491651, 0.5961538461538461, 0.6121687196715192, 0.6063829787234043, 0.6166666666666667, 0.6261595547309833, 0.6226415094339622, 0.6272727272727272, 0.6264034068912118, 0.5740740740740741, 0.6203703703703703, 0.6203703703703703, 0.6363636363636364, 0.5565967016491754, 0.6337662337662338, 0.5752146323254946, 0.5816326530612245, 0.5751017388087311, 0.5769230769230769, 0.6276595744680851, 0.607843137254902, 0.6090909090909091, 0.5937853107344633, 0.6082130965593785, 0.6222715501294858, 0.5952380952380952, 0.6277163553183378]","[0.7197802197802198, 0.75, 0.7692307692307692, 0.730952380952381, 0.7355072463768115, 0.7250936329588016, 0.8031914893617021, 0.7444444444444445, 0.7414772727272727, 0.7802197802197802, 0.7722222222222221, 0.6873207114170969, 0.7604166666666667, 0.7747252747252747, 0.7747252747252747, 0.7752808988764045, 0.7223858615611193, 0.7700374531835206, 0.6703296703296704, 0.7864583333333333, 0.7159574468085106, 0.7212765957446808, 0.8097826086956521, 0.7849462365591398, 0.7663043478260869, 0.6608527131782946, 0.7472527472527473, 0.7475655430711611, 0.7502443792766373, 0.7164082687338501]","[0.5476748076279693, 0.6015325670498084, 0.5411764705882353, 0.5337295381086435, 0.5260416666666667, 0.5326797385620915, 0.5529220401998374, 0.5175473981444131, 0.5616325691374524, 0.5561246265471618, 0.5554165363361485, 0.5407066052227343, 0.47149801148917364, 0.5486397798242828, 0.5486397798242828, 0.5693581780538303, 0.4809494826536823, 0.59375, 0.4832298136645963, 0.5045892877890089, 0.4876847290640394, 0.4944763588157314, 0.5859401660789444, 0.5404330534688466, 0.5266222081083942, 0.5154158818280956, 0.5486111111111112, 0.5630252100840336, 0.5386190422022523, 0.5407712687665588]"
