experiment,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC),CV_list(Accuracy),CV_list(Precision),CV_list(Recall),CV_list(F1)
lab1/outputs/pytorch_BERT-LR.csv,5,0.859602649,0.718594052,0.633959359,0.656428555,0.633959359,"[np.float64(0.6643692564745196), np.float64(0.608739837398374), np.float64(0.6347328244274809), np.float64(0.6397435897435897), np.float64(0.6222112860892388)]","[0.8741721854304636, 0.8344370860927153, 0.8807947019867549, 0.8609271523178808, 0.847682119205298]","[0.6928921568627451, 0.7431818181818182, 0.750354609929078, 0.698905109489051, 0.7076365663322185]","[0.6643692564745196, 0.608739837398374, 0.6347328244274809, 0.6397435897435897, 0.6222112860892388]","[0.6768052269911006, 0.6319586623769133, 0.6669117647058824, 0.6606741573033708, 0.6457929627740948]"
lab1/outputs/pytorch_BERT-LR.csv,10,0.871523179,0.699985972,0.632523249,0.652598514,0.632523249,"[np.float64(0.6643692564745196), np.float64(0.608739837398374), np.float64(0.6347328244274809), np.float64(0.6397435897435897), np.float64(0.6222112860892388), np.float64(0.6321070234113713), np.float64(0.7129060579455664), np.float64(0.6126395534290271), np.float64(0.5494987468671679), np.float64(0.6482843137254901)]","[0.8741721854304636, 0.8344370860927153, 0.8807947019867549, 0.8609271523178808, 0.847682119205298, 0.9006622516556292, 0.9006622516556292, 0.8741721854304636, 0.8410596026490066, 0.9006622516556292]","[0.6928921568627451, 0.7431818181818182, 0.750354609929078, 0.698905109489051, 0.7076365663322185, 0.6680851063829787, 0.7528675703858185, 0.700354609929078, 0.5710431654676259, 0.7145390070921986]","[0.6643692564745196, 0.608739837398374, 0.6347328244274809, 0.6397435897435897, 0.6222112860892388, 0.6321070234113713, 0.7129060579455663, 0.6126395534290271, 0.5494987468671679, 0.6482843137254902]","[0.6768052269911006, 0.6319586623769133, 0.6669117647058824, 0.6606741573033708, 0.6457929627740948, 0.6470313230481534, 0.7303892393762648, 0.6376152583049135, 0.5558823529411765, 0.6729241877256318]"
lab1/outputs/pytorch_BERT-LR.csv,30,0.867328918,0.68213027,0.622542662,0.638253319,0.622542662,"[np.float64(0.6643692564745196), np.float64(0.608739837398374), np.float64(0.6347328244274809), np.float64(0.6397435897435897), np.float64(0.6222112860892388), np.float64(0.6321070234113713), np.float64(0.7129060579455664), np.float64(0.6126395534290271), np.float64(0.5494987468671679), np.float64(0.6482843137254901), np.float64(0.7460491659350307), np.float64(0.6303240740740741), np.float64(0.5444656488549617), np.float64(0.6039215686274509), np.float64(0.5865045806906273), np.float64(0.6170176630434783), np.float64(0.5847953216374271), np.float64(0.5636482939632547), np.float64(0.6960375391032326), np.float64(0.5998329156223894), np.float64(0.675091575091575), np.float64(0.5483516483516483), np.float64(0.6687649880095924), np.float64(0.6063607924921792), np.float64(0.5483516483516483), np.float64(0.588095238095238), np.float64(0.6351706036745406), np.float64(0.7199248120300752), np.float64(0.5752314814814815), np.float64(0.6131078224101479)]","[0.8741721854304636, 0.8344370860927153, 0.8807947019867549, 0.8609271523178808, 0.847682119205298, 0.9006622516556292, 0.9006622516556292, 0.8741721854304636, 0.8410596026490066, 0.9006622516556292, 0.9139072847682119, 0.8807947019867549, 0.8344370860927153, 0.8741721854304636, 0.8410596026490066, 0.8344370860927153, 0.8609271523178808, 0.8344370860927153, 0.9139072847682119, 0.8874172185430463, 0.8874172185430463, 0.8410596026490066, 0.8807947019867549, 0.8675496688741722, 0.8410596026490066, 0.847682119205298, 0.8410596026490066, 0.8874172185430463, 0.8807947019867549, 0.8543046357615894]","[0.6928921568627451, 0.7431818181818182, 0.750354609929078, 0.698905109489051, 0.7076365663322185, 0.6680851063829787, 0.7528675703858185, 0.700354609929078, 0.5710431654676259, 0.7145390070921986, 0.7922314911366006, 0.6687649880095924, 0.5756493506493506, 0.6270983213429256, 0.6471822541966427, 0.6594907407407408, 0.6318181818181818, 0.6517996870109546, 0.7441558441558441, 0.7371031746031746, 0.7865707434052758, 0.6032863849765258, 0.6303240740740741, 0.6063607924921793, 0.6032863849765258, 0.74256993006993, 0.6907407407407408, 0.7311237928007024, 0.6420454545454546, 0.6924460431654677]","[0.6643692564745196, 0.608739837398374, 0.6347328244274809, 0.6397435897435897, 0.6222112860892388, 0.6321070234113713, 0.7129060579455663, 0.6126395534290271, 0.5494987468671679, 0.6482843137254902, 0.7460491659350308, 0.6303240740740741, 0.5444656488549618, 0.6039215686274509, 0.5865045806906272, 0.6170176630434783, 0.5847953216374269, 0.5636482939632546, 0.6960375391032325, 0.5998329156223893, 0.6750915750915751, 0.5483516483516484, 0.6687649880095924, 0.6063607924921793, 0.5483516483516484, 0.5880952380952381, 0.6351706036745407, 0.7199248120300752, 0.5752314814814814, 0.613107822410148]","[0.6768052269911006, 0.6319586623769133, 0.6669117647058824, 0.6606741573033708, 0.6457929627740948, 0.6470313230481534, 0.7303892393762648, 0.6376152583049135, 0.5558823529411765, 0.6729241877256318, 0.7663373407927627, 0.6457247132429614, 0.5506487322937745, 0.6136026936026936, 0.6022827041264267, 0.6319586623769133, 0.5994694960212201, 0.5747437197251324, 0.7165342960288809, 0.6293140794223827, 0.71082572941309, 0.5558823529411765, 0.6457247132429614, 0.6063607924921793, 0.5558823529411765, 0.6087642221471218, 0.6541984732824427, 0.7253076511503478, 0.5926258992805755, 0.6354258121158911]"
