experiment,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC),CV_list(Accuracy),CV_list(Precision),CV_list(Recall),CV_list(F1)
lab1/outputs/incubator-mxnet_BERT-LR.csv,5,0.8884615384615385,0.7526186709162982,0.6741552107312977,0.6953095290154504,0.6741552107312977,"[np.float64(0.8406593406593407), np.float64(0.5767045454545454), np.float64(0.6758241758241758), np.float64(0.5547619047619047), np.float64(0.7228260869565217)]","[0.9519230769230769, 0.8461538461538461, 0.8942307692307693, 0.8557692307692307, 0.8942307692307693]","[0.9287234042553192, 0.6836734693877551, 0.7708333333333333, 0.6393939393939394, 0.7404692082111437]","[0.8406593406593407, 0.5767045454545454, 0.6758241758241759, 0.5547619047619048, 0.7228260869565217]","[0.8777908343125735, 0.5933528836754642, 0.7086834733893557, 0.5655806182121972, 0.7311398354876616]"
lab1/outputs/incubator-mxnet_BERT-LR.csv,10,0.8884615384615383,0.761363158895899,0.6796200088741652,0.7035605124219402,0.6796200088741652,"[np.float64(0.8406593406593407), np.float64(0.5767045454545454), np.float64(0.6758241758241758), np.float64(0.5547619047619047), np.float64(0.7228260869565217), np.float64(0.7273408239700374), np.float64(0.6787234042553192), np.float64(0.6619047619047619), np.float64(0.6761363636363636), np.float64(0.6813186813186813)]","[0.9519230769230769, 0.8461538461538461, 0.8942307692307693, 0.8557692307692307, 0.8942307692307693, 0.8653846153846154, 0.9038461538461539, 0.8846153846153846, 0.8846153846153846, 0.9038461538461539]","[0.9287234042553192, 0.6836734693877551, 0.7708333333333333, 0.6393939393939394, 0.7404692082111437, 0.7273408239700374, 0.71875, 0.765625, 0.8229166666666667, 0.8159057437407953]","[0.8406593406593407, 0.5767045454545454, 0.6758241758241759, 0.5547619047619048, 0.7228260869565217, 0.7273408239700374, 0.6787234042553192, 0.6619047619047619, 0.6761363636363636, 0.6813186813186813]","[0.8777908343125735, 0.5933528836754642, 0.7086834733893557, 0.5655806182121972, 0.7311398354876616, 0.7273408239700374, 0.695906432748538, 0.6950146627565982, 0.7173913043478262, 0.7234042553191489]"
lab1/outputs/incubator-mxnet_BERT-LR.csv,30,0.8903846153846156,0.7583722282284601,0.6757517799089305,0.7018405252186921,0.6757517799089305,"[np.float64(0.8406593406593407), np.float64(0.5767045454545454), np.float64(0.6758241758241758), np.float64(0.5547619047619047), np.float64(0.7228260869565217), np.float64(0.7273408239700374), np.float64(0.6787234042553192), np.float64(0.6619047619047619), np.float64(0.6761363636363636), np.float64(0.6813186813186813), np.float64(0.6317460317460316), np.float64(0.582903040734366), np.float64(0.53125), np.float64(0.6813186813186813), np.float64(0.7582417582417582), np.float64(0.5719101123595506), np.float64(0.7091310751104566), np.float64(0.7220973782771536), np.float64(0.7362637362637362), np.float64(0.8020833333333333), np.float64(0.5787234042553192), np.float64(0.6180851063829788), np.float64(0.6865942028985508), np.float64(0.7218963831867058), np.float64(0.6865942028985508), np.float64(0.7383720930232558), np.float64(0.6758241758241758), np.float64(0.6887640449438202), np.float64(0.7111436950146628), np.float64(0.6434108527131783)]","[0.9519230769230769, 0.8461538461538461, 0.8942307692307693, 0.8557692307692307, 0.8942307692307693, 0.8653846153846154, 0.9038461538461539, 0.8846153846153846, 0.8846153846153846, 0.9038461538461539, 0.8846153846153846, 0.7884615384615384, 0.875, 0.9038461538461539, 0.9230769230769231, 0.8365384615384616, 0.9519230769230769, 0.9038461538461539, 0.8846153846153846, 0.9519230769230769, 0.8846153846153846, 0.875, 0.8942307692307693, 0.9326923076923077, 0.8942307692307693, 0.8942307692307693, 0.8942307692307693, 0.8942307692307693, 0.9134615384615384, 0.8461538461538461]","[0.9287234042553192, 0.6836734693877551, 0.7708333333333333, 0.6393939393939394, 0.7404692082111437, 0.7273408239700374, 0.71875, 0.765625, 0.8229166666666667, 0.8159057437407953, 0.782312925170068, 0.6412512218963832, 0.5353460972017673, 0.8159057437407953, 0.8573099415204679, 0.625, 0.855, 0.8467836257309942, 0.7362637362637363, 0.841678939617084, 0.6258503401360545, 0.6298245614035087, 0.7409356725146199, 0.8860544217687075, 0.7409356725146199, 0.8607038123167156, 0.7708333333333333, 0.828125, 0.78125, 0.7361702127659575]","[0.8406593406593407, 0.5767045454545454, 0.6758241758241759, 0.5547619047619048, 0.7228260869565217, 0.7273408239700374, 0.6787234042553192, 0.6619047619047619, 0.6761363636363636, 0.6813186813186813, 0.6317460317460317, 0.582903040734366, 0.53125, 0.6813186813186813, 0.7582417582417582, 0.5719101123595506, 0.7091310751104566, 0.7220973782771536, 0.7362637362637363, 0.8020833333333333, 0.5787234042553192, 0.6180851063829788, 0.6865942028985508, 0.7218963831867058, 0.6865942028985508, 0.7383720930232558, 0.6758241758241759, 0.6887640449438202, 0.7111436950146628, 0.6434108527131783]","[0.8777908343125735, 0.5933528836754642, 0.7086834733893557, 0.5655806182121972, 0.7311398354876616, 0.7273408239700374, 0.695906432748538, 0.6950146627565982, 0.7173913043478262, 0.7234042553191489, 0.6680851063829787, 0.59375, 0.5329879101899827, 0.7234042553191489, 0.7966764418377321, 0.5844888366627498, 0.7600369173973235, 0.7644927536231885, 0.7362637362637363, 0.8203799654576857, 0.59375, 0.6235032024505709, 0.7086834733893557, 0.7757930397289806, 0.7086834733893557, 0.7796185706029667, 0.7086834733893557, 0.7311398354876616, 0.7393483709273183, 0.6698412698412698]"
