experiment,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC),CV_list(Accuracy),CV_list(Precision),CV_list(Recall),CV_list(F1)
lab1/outputs/tensorflow_NB.csv,5,0.5557046979865772,0.6304183850592262,0.7160673679723771,0.5330408735455487,0.7160673679723771,"[np.float64(0.7328469884025439), np.float64(0.7345931997571342), np.float64(0.7171666666666667), np.float64(0.6995833333333333), np.float64(0.6961466517022072)]","[0.587248322147651, 0.5771812080536913, 0.5536912751677853, 0.5100671140939598, 0.5503355704697986]","[0.6442343344456805, 0.6447097378277153, 0.6216790400149415, 0.6176788522012578, 0.6237899608065354]","[0.7328469884025439, 0.7345931997571342, 0.7171666666666667, 0.6995833333333333, 0.6961466517022072]","[0.5638661161548255, 0.5553713527851459, 0.5251991614255765, 0.4907771535580524, 0.5299905838041431]"
lab1/outputs/tensorflow_NB.csv,10,0.561744966442953,0.6359610660388026,0.7226748400537495,0.5397102778193875,0.7226748400537495,"[np.float64(0.7328469884025439), np.float64(0.7345931997571342), np.float64(0.7171666666666667), np.float64(0.6995833333333333), np.float64(0.6961466517022072), np.float64(0.7199193548387097), np.float64(0.7336404914529915), np.float64(0.73), np.float64(0.7381160369804178), np.float64(0.7247356774034914)]","[0.587248322147651, 0.5771812080536913, 0.5536912751677853, 0.5100671140939598, 0.5503355704697986, 0.5604026845637584, 0.5906040268456376, 0.5469798657718121, 0.587248322147651, 0.5536912751677853]","[0.6442343344456805, 0.6447097378277153, 0.6216790400149415, 0.6176788522012578, 0.6237899608065354, 0.6273287575290657, 0.6668096872616324, 0.6311475409836066, 0.6531367041198501, 0.6290960451977401]","[0.7328469884025439, 0.7345931997571342, 0.7171666666666667, 0.6995833333333333, 0.6961466517022072, 0.7199193548387097, 0.7336404914529915, 0.73, 0.7381160369804178, 0.7247356774034915]","[0.5638661161548255, 0.5553713527851459, 0.5251991614255765, 0.4907771535580524, 0.5299905838041431, 0.5339469694256413, 0.5787449017426771, 0.5228607009428927, 0.5679377615371015, 0.5284080768178194]"
lab1/outputs/tensorflow_NB.csv,30,0.5553691275167785,0.6351274943598753,0.7110387703649509,0.5364221311524823,0.7110387703649509,"[np.float64(0.7328469884025439), np.float64(0.7345931997571342), np.float64(0.7171666666666667), np.float64(0.6995833333333333), np.float64(0.6961466517022072), np.float64(0.7199193548387097), np.float64(0.7336404914529915), np.float64(0.73), np.float64(0.7381160369804178), np.float64(0.7247356774034914), np.float64(0.6884900048419451), np.float64(0.6945488721804511), np.float64(0.6971709206612714), np.float64(0.7098291485093726), np.float64(0.7058150377214547), np.float64(0.6997126436781609), np.float64(0.6914845173041895), np.float64(0.714048557792073), np.float64(0.7217610845956977), np.float64(0.724721554924656), np.float64(0.697467071935157), np.float64(0.6892953407778206), np.float64(0.7065972222222222), np.float64(0.67675), np.float64(0.7318919705903764), np.float64(0.711381074168798), np.float64(0.7515833333333333), np.float64(0.7301116673084328), np.float64(0.669311445508436), np.float64(0.6924432423571838)]","[0.587248322147651, 0.5771812080536913, 0.5536912751677853, 0.5100671140939598, 0.5503355704697986, 0.5604026845637584, 0.5906040268456376, 0.5469798657718121, 0.587248322147651, 0.5536912751677853, 0.5335570469798657, 0.5704697986577181, 0.5570469798657718, 0.5771812080536913, 0.5335570469798657, 0.5268456375838926, 0.5302013422818792, 0.5838926174496645, 0.5671140939597316, 0.587248322147651, 0.5503355704697986, 0.5134228187919463, 0.5570469798657718, 0.5, 0.5771812080536913, 0.5704697986577181, 0.5973154362416108, 0.5805369127516778, 0.5167785234899329, 0.5134228187919463]","[0.6442343344456805, 0.6447097378277153, 0.6216790400149415, 0.6176788522012578, 0.6237899608065354, 0.6273287575290657, 0.6668096872616324, 0.6311475409836066, 0.6531367041198501, 0.6290960451977401, 0.6350614591593973, 0.6501450676982592, 0.6363549390098062, 0.6424111544058965, 0.6150056839712013, 0.6397195557119164, 0.6220019342359768, 0.6444880235327076, 0.6550290135396519, 0.643075639599555, 0.6430493712384401, 0.6218279143536876, 0.6520243710691824, 0.6037823555316338, 0.6504226283231809, 0.6624410377358491, 0.6377783862723622, 0.6384872080088988, 0.5866834757435682, 0.6144249512670565]","[0.7328469884025439, 0.7345931997571342, 0.7171666666666667, 0.6995833333333333, 0.6961466517022072, 0.7199193548387097, 0.7336404914529915, 0.73, 0.7381160369804178, 0.7247356774034915, 0.6884900048419451, 0.6945488721804511, 0.6971709206612714, 0.7098291485093726, 0.7058150377214546, 0.6997126436781609, 0.6914845173041895, 0.7140485577920731, 0.7217610845956975, 0.724721554924656, 0.697467071935157, 0.6892953407778206, 0.7065972222222222, 0.67675, 0.7318919705903764, 0.7113810741687979, 0.7515833333333333, 0.7301116673084328, 0.6693114455084359, 0.6924432423571838]","[0.5638661161548255, 0.5553713527851459, 0.5251991614255765, 0.4907771535580524, 0.5299905838041431, 0.5339469694256413, 0.5787449017426771, 0.5228607009428927, 0.5679377615371015, 0.5284080768178194, 0.5236386636766144, 0.5625888720700885, 0.5431358885017422, 0.5605337078651685, 0.5071332532156158, 0.5167845437295153, 0.5130036886585423, 0.5663114407774283, 0.5550848928856638, 0.5652730830813023, 0.5403140396924069, 0.49874134310870855, 0.5480698529411765, 0.47960104543909615, 0.559316464015774, 0.5633699633699634, 0.562558105397074, 0.5552929097572914, 0.48123791102514507, 0.4935714871722748]"
